"","Feature","MET_1","MET_2","MET_3","CTL_1","CTL_2","CTL_3"
"8309","N4BP2L2",266,354,278,233,287,275
"8310","N4BP3",4,10,7,2,4,3
"8311","N5",2,0,2,1,1,0
"8312","N6AMT1",58,65,70,69,72,48
"8313","N6AMT2",38,39,48,35,36,20
"8314","NMS",0,0,0,0,0,0
"8315","NAA10",97,166,146,115,129,106
"8316","NAA11",0,1,17,15,20,3
"8317","NAA15",654,1042,706,542,1000,794
"8318","NAA25",144,242,139,128,237,196
"8319","NAA30",382,486,320,264,436,321
"8320","NAA35",296,409,414,351,491,353
"8321","NAA38",117,151,112,73,85,86
"8322","NAA60",770,913,984,862,1260,1016
"8323","NAAA",26,23,38,28,39,19
"8324","NAALAD2",1,3,3,1,2,1
"8325","NAALADL1",0,0,0,0,1,1
"8326","NAB1",795,1023,846,602,1033,687
"8327","NAB2",352,575,299,143,440,247
"8328","NACA",2450,3821,2834,1904,3246,2485
"8329","NACAD",0,0,2,1,0,0
"8330","NACC1",206,234,220,162,210,158
"8331","NACC2",155,149,239,213,226,141
"8332","NADK",2625,3069,3134,3411,3038,2200
"8333","NADKD1",3495,3402,4021,3205,2780,2248
"8334","NADSYN1",216,235,241,273,293,192
"8335","NAE1",173,169,213,147,169,152
"8336","NAF1",38,53,41,25,40,34
"8337","NAGA",439,464,474,458,458,358
"8338","NAGK",110,145,134,84,115,72
"8339","NAGLT1",4,5,2,2,0,0
"8340","NAGPA",113,112,140,112,185,151
"8341","NAGS",858,1561,929,980,956,676
"8342","NALCN",0,0,0,2,0,0
"8343","NAMPT",1233,1729,1259,439,967,973
"8344","NANOG",0,0,0,0,0,0
"8345","NANOS2",0,0,0,0,0,0
"8346","NANOS3",0,0,0,0,0,0
"8347","NANP",159,177,128,136,155,120
"8348","NANS",683,655,654,579,542,337
"8349","NAP1L1",547,902,479,327,873,693
"8350","NAP1L2",1,0,1,0,2,0
"8351","NAP1L3",45,34,49,48,26,14
"8352","NAP1L4",380,433,443,327,474,372
"8353","NAP1L5",20,14,10,17,25,30
"8354","NAPA",776,904,902,765,988,733
"8355","NAPB",6,5,5,2,11,3
"8356","NAPEPLD",20,14,23,16,28,14
"8357","NAPG",539,621,555,450,571,474
"8358","NAPRT1",705,748,903,835,722,524
"8359","NAPSA",52,51,70,77,114,64
"8360","NARF",659,1011,552,465,607,415
"8361","NARFL",285,317,227,195,247,202
"8362","NARG2",77,85,95,68,77,57
"8363","NARS",1262,1645,1205,966,1277,1009
"8364","NARS2",84,104,104,82,125,83
"8365","NASP",129,222,156,128,218,151
"8366","NAT1",343,264,378,493,377,323
"8367","NAT11",97,121,88,89,114,81
"8368","NAT13",293,401,340,265,414,290
"8369","NAT14",10,12,8,16,13,9
"8370","NAT2",45,25,25,28,28,29
"8371","NAT3",0,1,0,1,0,1
"8372","NAT5",139,192,115,156,240,227
"8373","NAT8",86,92,60,172,244,192
"8374","NAT8B",34,33,22,24,35,21
"8375","NAT8L",0,0,1,0,2,0
"8376","NAT9",150,159,161,130,147,179
"8377","NAV2",913,1227,1177,1264,1009,511
"8378","NAV3",18,23,23,56,76,36
"8379","NBL1",17,21,25,16,14,11
"8380","NBN",455,570,351,287,1453,1068
"8381","NBR1",3827,4040,3851,2548,4738,3456
"8382","NCALD",238,108,167,266,286,182
"8383","NCAM1",5,1,3,4,3,1
"8384","NCAM2",0,2,2,8,5,6
"8385","NCAN",0,0,0,0,0,0
"8386","NCAPD3",95,62,105,97,64,58
"8387","NCAPH2",294,316,275,209,397,289
"8388","NCBP1",403,599,468,392,569,455
"8389","NCCRP1",1,0,1,0,0,0
"8390","NCDN",152,230,111,93,153,121
"8391","NCF1",80,49,92,68,160,79
"8392","NCF2",16,18,15,13,23,10
"8393","NCF4",30,21,29,31,59,22
"8394","NCK1",253,291,255,241,297,235
"8395","NCK2",35,36,27,30,48,24
"8396","NCKAP1",1695,2178,1817,1742,2808,1978
"8397","NCKAP1L",140,123,171,127,249,116
"8398","NCKIPSD",58,52,62,56,58,36
"8399","NCL",2655,3749,3025,1836,3529,2655
"8400","NCLN",1145,1863,1729,1524,2036,1361
"8401","NCOA1",321,338,321,295,498,301
"8402","NCOA2",329,255,295,404,772,494
"8403","NCOA4",2134,2989,1843,1291,1925,1500
"8404","NCOA5",194,239,217,160,256,167
"8405","NCOR2",868,791,909,678,965,915
"8406","NCR1",3,8,8,1,5,5
"8407","NCR3",5,4,8,8,13,6
"8408","NCS1",3,0,3,1,0,0
"8409","NCSTN",862,1073,967,862,1144,827
"8410","NDC80",11,2,2,6,4,1
"8411","NDE1",98,106,153,142,122,82
"8412","NDEL1",566,634,602,555,850,556
"8413","NDFIP1",1301,1342,1361,1283,1821,1329
"8414","NDFIP2",859,932,843,846,1171,805
"8415","NDN",2,5,6,7,6,3
"8416","NDNL2",144,185,196,146,209,151
"8417","NDOR1",158,160,166,122,176,110
"8418","NDP",0,0,0,0,0,0
"8419","NDRG1",82,153,83,59,130,72
"8420","NDRG2",6818,6729,7727,8162,6331,5232
"8421","NDRG3",44,53,41,37,42,39
"8422","NDRG4",4,8,13,4,4,4
"8423","NDST1",1292,954,1710,2134,1006,539
"8424","NDST2",491,643,519,473,519,369
"8425","NDST3",0,0,0,0,0,0
"8426","NDST4",0,0,0,0,0,0
"8427","NDUFA1",450,519,606,434,388,330
"8428","NDUFA10",239,153,312,148,147,104
"8429","NDUFA10L1",0,0,0,0,0,0
"8430","NDUFA11",853,900,963,764,776,571
"8431","NDUFA12",321,336,387,292,261,206
"8432","NDUFA2",441,500,468,394,435,324
"8433","NDUFA4",2265,2358,2511,2190,2252,1944
"8434","NDUFA5",371,562,398,376,477,353
"8435","NDUFA6",1104,1404,1181,913,1182,867
"8436","NDUFA7",391,503,440,372,500,370
"8437","NDUFA8",345,370,416,400,305,262
"8438","NDUFA9",1141,1155,1365,991,1118,812
"8439","NDUFAB1",544,743,651,563,815,586
"8440","NDUFAF1",170,157,205,154,164,124
"8441","NDUFAF3",158,172,225,161,171,130
"8442","NDUFAF4",214,496,213,137,256,310
"8443","NDUFB10",549,736,681,639,731,504
"8444","NDUFB11",921,980,979,881,899,736
"8445","NDUFB2",632,722,713,513,573,421
"8446","NDUFB3",250,240,269,215,246,216
"8447","NDUFB4",177,241,208,192,223,151
"8448","NDUFB5",760,961,787,639,755,476
"8449","NDUFB6",354,406,435,390,411,336
"8450","NDUFB7",524,646,559,571,586,479
"8451","NDUFB8",834,852,965,739,833,613
"8452","NDUFB9",1129,1244,1329,1132,1192,980
"8453","NDUFC2",319,413,349,337,377,295
"8454","NDUFS1",1553,1510,1754,1540,1543,1191
"8455","NDUFS2",1647,1820,1885,1378,1600,1250
"8456","NDUFS3",758,857,896,619,728,571
"8457","NDUFS4",374,381,423,356,388,259
"8458","NDUFS5",61,54,60,61,47,37
"8459","NDUFS6",199,253,230,207,237,149
"8460","NDUFS7",620,659,715,496,678,461
"8461","NDUFS8",475,589,664,505,491,376
"8462","NDUFV1",1585,1562,1839,1236,1467,1072
"8463","NDUFV2",1064,1165,1549,1148,1179,935
"8464","NDUFV3",771,916,957,733,802,530
"8465","NECAB1",2,1,2,0,1,1
"8466","NECAB2",2,3,7,0,17,9
"8467","NECAB3",0,1,0,1,1,1
"8468","NECAP1",641,663,702,432,682,542
"8469","NECAP2",214,204,195,155,200,170
"8470","NEDD1",81,118,183,224,129,140
"8471","NEDD4",3583,4255,3531,3195,4872,3198
"8472","NEDD4L",557,1152,643,474,695,678
"8473","NEDD8",513,671,518,547,523,427
"8474","NEDD9",281,204,391,284,302,86
"8475","NEFH",1,0,0,0,0,1
"8476","NEFL",0,0,0,0,0,0
"8477","NEFM",1,0,1,0,0,0
"8478","NEGR1",27,27,26,33,53,38
"8479","NEIL1",101,129,115,96,102,63
"8480","NEIL2",7,8,7,2,7,5
"8481","NEIL3",0,0,1,0,0,0
"8482","NEK1",75,86,110,57,109,74
"8483","NEK11",18,38,38,13,32,24
"8484","NEK2",19,4,19,26,11,3
"8485","NEK4",100,114,125,122,178,107
"8486","NEK6",176,234,154,108,151,84
"8487","NEK7",93,114,95,88,149,116
"8488","NEK8",31,17,41,29,32,16
"8489","NEK9",686,958,793,638,1049,696
"8490","NELF",131,246,120,152,198,117
"8491","NELL1",0,0,0,0,0,1
"8492","NELL2",0,0,1,0,0,0
"8493","NENF",73,76,104,60,72,52
"8494","NEPN",0,1,0,0,0,0
"8495","NES",14,19,23,33,28,6
"8496","NET1",1741,2189,2609,1619,1918,1291
"8497","NETO1",0,0,0,0,0,0
"8498","NETO2",13,8,1,9,13,10
"8499","NEU1",226,355,226,174,368,279
"8500","NEU2",22,61,27,6,20,16
"8501","NEU3",45,30,47,38,45,35
"8502","NEU4",0,0,0,0,0,0
"8503","NEURL",0,0,0,0,0,0
"8504","NEURL1B",24,19,39,20,34,10
"8505","NEURL2",81,94,54,54,133,78
"8506","NEURL3",23,25,17,16,56,20
"8507","NEURL4",416,420,322,267,382,295
"8508","NEUROD1",0,0,0,0,0,0
"8509","NEUROD2",0,0,0,0,0,0
"8510","NEUROD4",1,1,0,3,3,1
"8511","NEUROD6",0,0,0,0,0,0
"8512","NEUROG1",0,0,0,0,0,0
"8513","NEUROG3",0,0,0,0,0,0
"8514","NEXN",4,3,6,10,7,4
"8515","NF1",213,275,212,217,537,267
"8516","NF2",472,605,521,385,472,394
"8517","NFASC",3,1,3,4,1,0
"8518","NFAT5",656,717,595,857,1580,878
"8519","NFATC1",75,86,106,75,86,73
"8520","NFATC2",22,25,30,32,52,21
"8521","NFATC2IP",25,40,37,24,36,40
"8522","NFATC3",504,599,548,537,679,506
"8523","NFATC4",250,98,25,24,141,40
"8524","NFE2",18,10,28,19,14,3
"8525","NFE2L1",360,335,351,301,531,349
"8526","NFE2L2",1296,1028,1611,1416,1905,1021
"8527","NFIA",817,787,780,569,734,520
"8528","NFIB",139,119,117,223,349,167
"8529","NFIC",356,374,401,520,796,498
"8530","NFIL3",508,521,663,967,801,593
"8531","NFIX",240,226,253,181,329,212
"8532","NFKB2",134,156,133,123,240,125
"8533","NFKBIA",194,237,266,191,394,251
"8534","NFKBIB",171,237,161,121,206,148
"8535","NFKBIE",28,31,49,38,61,35
"8536","NFKBIL1",58,60,64,27,82,40
"8537","NFKBIZ",151,301,145,108,183,163
"8538","NFRKB",354,468,397,320,434,338
"8539","NFS1",2924,2748,2953,2108,2145,1560
"8540","NFU1",147,152,145,118,167,110
"8541","NFX1",852,1089,1017,780,1451,888
"8542","NFXL1",216,199,231,123,192,149
"8543","NFYA",36,46,39,31,65,44
"8544","NFYB",307,214,414,215,329,195
"8545","NFYC",344,347,349,260,372,325
"8546","NG23",0,0,0,0,0,0
"8547","NG35",40,49,50,28,50,26
"8548","NGB",0,0,0,0,0,1
"8549","NGDN",102,118,122,75,126,79
"8550","NGEF",329,553,368,330,220,171
"8551","NGFR",1,1,6,9,21,4
"8552","NGFRAP1",27,28,31,22,18,12
"8553","NGLY1",620,740,730,663,945,735
"8554","NGP",3,2,1,0,0,2
"8555","NGRN",280,304,277,143,282,237
"8556","NHEJ1",13,28,20,15,40,21
"8557","NHLH1",0,0,0,0,0,0
"8558","NHLH2",0,0,0,0,0,0
"8559","NHLRC1",20,37,25,53,43,35
"8560","NHLRC2",574,839,423,376,828,443
"8561","NHP2",82,135,90,73,102,85
"8562","NHP2L1",89,105,96,78,102,77
"8563","NHS",1,0,2,2,1,1
"8564","NIACR1",1,5,11,0,3,2
"8565","NID2",65,79,117,112,114,75
"8566","NID67",13,16,11,8,31,16
"8567","NIF3L1",101,102,122,82,97,68
"8568","NIN",39,45,45,46,62,63
"8569","NINJ1",1212,1824,1299,1185,1515,850
"8570","NINJ2",14,8,29,5,0,1
"8571","NIP30",263,281,281,179,258,198
"8572","NIP7",114,176,113,73,134,94
"8573","NIPA1",44,64,65,67,50,39
"8574","NIPA2",322,464,344,259,356,286
"8575","NIPAL1",209,198,182,157,280,134
"8576","NIPAL2",89,114,195,119,85,83
"8577","NIPAL4",2,0,0,0,0,0
"8578","NIPSNAP1",3873,4732,5207,3256,2766,1994
"8579","NIPSNAP3A",0,0,0,0,0,0
"8580","NIPSNAP3B",911,1071,948,717,904,671
"8581","NIT1",1420,1567,1350,1197,1633,1305
"8582","NIT2",3469,3270,4279,3117,2944,1901
"8583","NKAIN3",0,0,0,0,0,0
"8584","NKAIN4",1,0,0,0,0,0
"8585","NKAP",93,107,114,124,174,127
"8586","NKAPL",1,0,1,0,0,1
"8587","NKD2",15,32,13,22,15,38
"8588","NKG7",8,5,11,7,32,8
"8589","NKIRAS1",230,211,234,130,197,152
"8590","NKIRAS2",112,110,112,84,153,111
"8591","NKR-P1C",1,3,6,6,8,5
"8592","NKX1-2",3,0,0,6,5,3
"8593","NKX2-1",0,0,0,0,0,0
"8594","NKX2-2",0,0,0,0,0,0
"8595","NKX2-3",0,0,0,0,1,0
"8596","NKX2-5",0,0,0,0,0,0
"8597","NKX2-6",0,0,0,0,0,0
"8598","NKX2-8",0,0,0,0,0,0
"8599","NKX3-1",0,0,0,0,0,0
"8600","NKX6-1",0,0,0,0,0,1
"8601","NKX6-2",0,0,0,0,0,0
"8602","NKX6-3",0,0,0,0,1,0
"8603","NLE1",73,133,76,56,93,86
"8604","NLGN1",0,0,0,1,0,0
"8605","NLGN2",15,21,23,31,29,12
"8606","NLGN3",2,2,4,2,2,3
"8607","NLK",131,152,179,125,183,128
"8608","NLN",719,704,991,787,700,428
"8609","NLRP10",0,0,1,3,1,1
"8610","NLRP12",398,402,470,339,675,818
"8611","NLRP1A",33,41,28,29,48,27
"8612","NLRP3",52,35,59,55,98,45
"8613","NLRP4",0,0,0,0,0,0
"8614","NLRP4A",0,0,0,0,0,0
"8615","NLRP5",0,0,0,0,0,0
"8616","NLRP6",1,3,3,0,0,0
"8617","NLRP9",0,0,0,0,0,0
"8618","NLRX1",324,256,357,231,236,182
"8619","NMB",1,2,0,0,0,0
"8620","NMBR",0,0,0,0,0,0
"8621","NMD3",217,330,196,130,273,280
"8622","NME1",257,237,283,227,126,83
"8623","NME2",1711,1857,1852,1293,1252,920
"8624","NME3",217,219,202,167,230,148
"8625","NME4",5,0,4,1,1,3
"8626","NME6",57,59,75,72,93,47
"8627","NME7",85,70,106,70,77,73
"8628","NMI",141,158,205,184,154,96
"8629","NMNAT1",275,298,339,282,260,193
"8630","NMNAT2",0,0,0,0,0,0
"8631","NMNAT3",165,110,213,164,150,121
"8632","NMRAL1",84,65,126,71,63,51
"8633","NMT1",588,711,741,617,757,586
"8634","NMT2",19,22,18,25,41,35
"8635","NMU",0,0,0,2,0,0
"8636","NMUR1",2,1,1,1,0,1
"8637","NMUR2",0,0,0,0,0,0
"8638","NNAT",24,36,16,18,59,15
"8639","NNMT",451,492,772,378,332,275
"8640","NNT",3016,2862,3490,2883,2980,1862
"8641","NOA1",54,94,71,43,85,49
"8642","NOB1",389,509,378,202,488,421
"8643","NOBOX",1,0,0,0,0,0
"8644","NOC2L",395,556,393,307,425,368
"8645","NOC3L",128,238,150,90,163,121
"8646","NOC4L",133,155,129,84,131,114
"8647","NOD1",262,358,268,374,286,196
"8648","NOD2",17,13,18,15,42,6
"8649","NODAL",0,0,0,0,0,0
"8650","NOG",3,1,2,4,4,5
"8651","NOL10",129,219,130,125,135,107
"8652","NOL12",56,81,52,45,88,77
"8653","NOL3",14,4,9,15,13,6
"8654","NOL4",0,0,0,0,0,0
"8655","NOL8",152,244,110,83,223,185
"8656","NOLC1",388,840,516,305,520,471
"8657","NOMO1",918,1423,1154,1076,1454,1027
"8658","NONO",1043,1172,1308,924,1386,1067
"8659","NOP10",99,175,139,106,143,106
"8660","NOP14",193,365,205,143,259,204
"8661","NOP16",216,351,249,158,252,193
"8662","NOP2",268,414,312,195,325,291
"8663","NOP56",180,379,202,131,226,215
"8664","NOP58",236,475,222,143,325,260
"8665","NOS1",0,2,3,0,0,0
"8666","NOS1AP",31,40,51,38,51,22
"8667","NOS2",1,1,1,0,8,0
"8668","NOS3",175,167,163,98,146,90
"8669","NOSIP",133,112,160,154,168,121
"8670","NOSTRIN",205,287,219,204,235,278
"8671","NOTCH1",322,379,397,308,596,373
"8672","NOTCH2",264,267,326,681,441,325
"8673","NOTCH3",36,46,60,61,67,45
"8674","NOTCH4",76,158,88,51,93,82
"8675","NOTO",0,0,0,0,0,0
"8676","NOV",4,9,6,6,1,4
"8677","NOX3",0,0,0,0,0,0
"8678","NOX4",209,300,90,303,832,506
"8679","NOXA1",1,2,2,0,0,1
"8680","NOXO1",0,1,2,0,1,0
"8681","NP4",0,0,0,0,0,2
"8682","NPAP60",385,480,452,260,395,287
"8683","NPAS1",2,3,2,1,3,3
"8684","NPAS2",75,39,132,482,242,143
"8685","NPAS4",0,0,0,0,0,0
"8686","NPAT",216,183,136,122,239,166
"8687","NPB",0,1,0,0,1,0
"8688","NPBWR1",0,0,0,0,0,0
"8689","NPC2",923,879,1144,834,1121,699
"8690","NPDC1",119,85,143,62,87,63
"8691","NPEPL1",617,921,738,506,754,551
"8692","NPEPO",29,17,22,39,41,33
"8693","NPEPPS",414,502,494,461,668,561
"8694","NPFFR1",0,0,0,0,0,0
"8695","NPFFR2",1,0,1,1,0,0
"8696","NPHP1",202,247,273,177,149,141
"8697","NPHP3",62,65,76,48,44,44
"8698","NPHP4",9,14,3,14,6,6
"8699","NPHS1",2,3,3,5,4,5
"8700","NPHS2",0,0,0,0,0,0
"8701","NPL",65,40,51,54,85,41
"8702","NPLOC4",684,1021,739,598,1070,833
"8703","NPM1",1008,1599,1141,548,1552,1099
"8704","NPM2",0,0,0,0,0,0
"8705","NPPA",0,0,0,0,0,0
"8706","NPPB",0,0,0,0,0,0
"8707","NPPC",0,0,2,0,2,0
"8708","NPR1",199,183,238,247,356,220
"8709","NPR2",19,27,35,21,25,47
"8710","NPR3",20,14,17,19,15,16
"8711","NPRL2",224,209,233,183,226,192
"8712","NPRL3",137,141,123,89,112,104
"8713","NPSR1",1,0,0,0,0,0
"8714","NPTN",571,771,628,579,821,558
"8715","NPTX1",2,2,1,0,1,1
"8716","NPTX2",2,11,10,3,1,1
"8717","NPTXR",6,9,5,7,17,10
"8718","NPVF",0,0,0,0,0,0
"8719","NPW",1,2,1,0,0,0
"8720","NPY",14,11,19,28,19,16
"8721","NPY1R",0,0,1,0,2,1
"8722","NPY2R",0,0,0,0,0,0
"8723","NPY5R",0,0,0,0,0,0
"8724","NQO1",1691,2993,1390,688,428,198
"8725","NQO2",617,420,648,545,383,325
"8726","NR0B1",0,0,0,0,0,0
"8727","NR0B2",116,278,101,58,536,420
"8728","NR1D1",1994,1611,2402,13,433,53
"8729","NR1H2",515,583,592,493,731,524
"8730","NR1H3",1162,1372,1406,1389,1624,1174
"8731","NR1H4",748,431,1251,1047,1033,750
"8732","NR1I2",2219,3403,2277,1273,2086,2334
"8733","NR1I3",629,722,371,230,956,1236
"8734","NR2C1",196,241,177,116,301,201
"8735","NR2C2",146,123,100,129,266,170
"8736","NR2F1",17,17,28,10,36,30
"8737","NR2F2",275,269,264,201,293,230
"8738","NR2F6",623,907,969,917,1220,750
"8739","NR3C1",1654,1811,1824,1953,2514,1239
"8740","NR3C2",131,87,157,163,221,108
"8741","NR4A1",6,10,19,8,44,9
"8742","NR4A2",29,22,35,19,65,28
"8743","NR4A3",1,2,5,1,23,4
"8744","NR5A1",0,0,0,0,0,1
"8745","NR5A2",379,398,373,343,405,368
"8746","NRADD",2,5,1,3,2,1
"8747","NRAP",3,1,3,1,0,1
"8748","NRARP",27,46,11,9,32,10
"8749","NRAS",174,226,213,130,185,130
"8750","NRBF2",25,60,24,32,54,48
"8751","NRBP2",1131,1822,962,497,1046,1125
"8752","NRCAM",7,2,23,27,32,23
"8753","NRD1",1071,1233,1418,1108,1200,896
"8754","NREP",359,43,196,558,151,107
"8755","NRF1",58,71,60,51,90,61
"8756","NRG1",29,24,52,48,39,22
"8757","NRG2",5,10,6,5,3,3
"8758","NRG4",2,21,2,2,3,3
"8759","NRGN",7,9,10,8,10,8
"8760","NRIP1",278,235,334,602,834,437
"8761","NRIP3",15,25,25,24,32,10
"8762","NRK",0,1,1,0,0,0
"8763","NRL",0,0,0,0,0,0
"8764","NRM",14,11,10,15,15,5
"8765","NRN1L",0,2,0,1,1,2
"8766","NRP1",87,77,122,167,288,165
"8767","NRP2",109,76,105,137,252,126
"8768","NRSN1",0,0,0,0,0,0
"8769","NRSN2",0,0,0,0,0,0
"8770","NRTN",8,22,12,14,25,17
"8771","NRXN1",3,3,2,1,12,10
"8772","NRXN2",88,50,110,71,131,70
"8773","NRXN3",5,3,3,3,6,7
"8774","NS5ATP4",5,4,7,3,4,5
"8775","NS5ATP9",5,0,4,6,0,2
"8776","NSD1",460,496,382,516,997,523
"8777","NSDHL",3021,1804,4657,4129,2835,1992
"8778","NSF",172,193,215,171,277,184
"8779","NSFL1C",672,859,755,627,941,691
"8780","NSG1",0,3,2,5,4,6
"8781","NSG2",0,5,2,0,2,1
"8782","NSMAF",224,215,186,191,400,250
"8783","NSMCE1",142,147,145,133,212,152
"8784","NSMCE2",107,133,107,132,151,122
"8785","NSMCE4A",84,84,100,84,89,72
"8786","NSRP1",198,205,200,148,210,146
"8787","NSUN2",972,1423,1118,761,1187,936
"8788","NSUN4",176,177,174,126,193,130
"8789","NSUN5",87,137,100,67,150,89
"8790","NSUN6",19,20,19,16,22,18
"8791","NSUN7",0,0,0,0,0,0
"8792","NT5C1A",0,0,0,0,0,0
"8793","NT5C1B",0,0,0,0,0,0
"8794","NT5C3",150,191,157,179,236,173
"8795","NT5C3L",50,85,55,65,69,49
"8796","NT5DC1",298,444,380,375,442,372
"8797","NT5DC2",35,39,50,30,44,26
"8798","NT5DC3",48,83,50,22,48,41
"8799","NT5E",1309,1440,1570,1943,1864,1240
"8800","NT5M",10,18,20,7,7,7
"8801","NTAN1",390,474,491,420,423,318
"8802","NTF3",40,23,131,33,32,15
"8803","NTF4",1,1,0,3,0,0
"8804","NTHL1",126,147,132,95,143,85
"8805","NTM",5,5,7,4,1,5
"8806","NTN1",42,50,49,54,81,50
"8807","NTN3",5,3,4,7,4,6
"8808","NTN5",0,0,0,0,0,0
"8809","NTNG1",36,41,46,75,49,42
"8810","NTNG2",7,5,12,8,33,12
"8811","NTPCR",307,358,320,260,314,235
"8812","NTRK1",7,5,2,11,11,14
"8813","NTRK2",2,0,0,2,0,1
"8814","NTRK3",1,3,2,2,0,1
"8815","NTS",0,1,2,1,0,0
"8816","NTSR1",10,13,5,8,12,15
"8817","NUAK1",39,75,64,84,72,58
"8818","NUAK2",143,259,132,328,321,288
"8819","NUB1",475,524,520,413,649,434
"8820","NUBP1",321,407,341,305,372,319
"8821","NUBP2",366,390,313,277,415,307
"8822","NUBPL",106,111,149,107,83,67
"8823","NUCB1",3014,3550,3543,3186,3806,2473
"8824","NUCB2",1200,1144,1324,1252,1462,1023
"8825","NUCKS1",500,838,468,326,479,452
"8826","NUDC",624,989,807,605,1197,840
"8827","NUDCD1",109,103,110,86,103,76
"8828","NUDCD2",203,246,232,223,192,144
"8829","NUDT1",13,17,12,25,15,8
"8830","NUDT12",417,385,471,357,495,392
"8831","NUDT14",104,147,150,105,89,68
"8832","NUDT15",9,10,15,6,14,9
"8833","NUDT16",111,132,111,115,169,149
"8834","NUDT16L1",233,194,344,179,243,182
"8835","NUDT18",171,139,205,136,153,111
"8836","NUDT19",362,378,372,147,346,286
"8837","NUDT2",124,119,140,92,111,87
"8838","NUDT21",254,353,246,176,303,217
"8839","NUDT22",68,79,75,78,70,59
"8840","NUDT3",525,679,553,380,636,421
"8841","NUDT4",3246,5484,3553,2348,3347,3275
"8842","NUDT5",120,166,172,124,169,120
"8843","NUDT6",144,125,151,98,95,88
"8844","NUDT7",191,191,211,212,365,374
"8845","NUDT9",334,401,394,267,324,255
"8846","NUF2",16,1,15,15,6,3
"8847","NUFIP1",108,173,107,80,127,88
"8848","NUMB",424,568,436,393,486,285
"8849","NUMBL",7,6,9,1,5,4
"8850","NUP107",41,50,58,57,58,43
"8851","NUP153",465,627,457,386,837,529
"8852","NUP155",158,178,186,162,232,171
"8853","NUP160",160,167,159,164,212,167
"8854","NUP205",139,211,185,208,189,153
"8855","NUP210",558,481,525,347,337,237
"8856","NUP210L",3,2,4,1,2,2
"8857","NUP214",227,282,266,193,322,171
"8858","NUP35",151,214,199,114,175,101
"8859","NUP37",106,96,125,70,97,59
"8860","NUP54",116,166,156,100,150,86
"8861","NUP62",267,294,237,256,293,201
"8862","NUP85",115,113,153,120,147,117
"8863","NUP88",183,181,198,174,279,174
"8864","NUP93",97,152,131,106,137,112
"8865","NUP98",1481,1238,1090,919,2454,1111
"8866","NUPL1",129,203,114,90,178,161
"8867","NUPL2",54,71,71,53,68,53
"8868","NUPR1",911,898,1013,159,553,210
"8869","NUS1",726,933,921,720,746,621
"8870","NUSAP1",47,6,28,27,9,11
"8871","NUT",0,0,0,0,0,0
"8872","NUTF2",353,518,451,339,488,342
"8873","NVL",91,96,102,75,112,93
"8874","NXF1",885,1143,868,683,1255,917
"8875","NXF3",0,0,0,0,0,0
"8876","NXF7",0,0,0,0,0,0
"8877","NXN",40,61,53,61,85,55
"8878","NXNL2",1,0,0,1,0,0
"8879","NXPH1",0,0,0,1,0,0
"8880","NXPH3",1,4,2,0,1,1
"8881","NXPH4",2,0,1,4,0,0
"8882","NXT1",54,108,60,42,82,59
"8883","NXT2",168,153,172,198,185,143
"8884","NYX",0,0,0,0,0,0
"8885","O3FAR1",3,3,6,3,5,0
"8886","OAF",1433,843,1598,1646,2264,1237
"8887","OAS1A",53,158,40,53,85,146
"8888","OAS1B",41,74,27,35,70,91
"8889","OAS1D",1,1,0,0,0,0
"8890","OAS1E",0,0,0,0,1,0
"8891","OAS1F",0,0,0,0,0,0
"8892","OAS1H",1,0,0,1,1,1
"8893","OAS1I",18,74,20,47,29,33
"8894","OAS1K",1,4,1,0,1,2
"8895","OAS2",10,10,12,15,17,27
"8896","OASL",30,42,32,19,33,38
"8897","OASL2",36,28,48,37,52,27
"8898","OAT",1588,845,1148,3562,3143,2316
"8899","OAZ1",2433,2279,2948,2158,2311,1498
"8900","OAZ2",173,208,248,271,282,162
"8901","OAZ3",2,0,2,0,1,0
"8902","OBFC1",126,97,108,72,119,72
"8903","OBFC2A",297,190,375,235,158,75
"8904","OBFC2B",351,425,428,368,376,296
"8905","OBP1F",14,10,4,9,7,13
"8906","OBP2B",0,0,0,0,0,0
"8907","OBP3",83,1331,122,4305,3451,14440
"8908","OC90",0,0,0,0,0,0
"8909","OCEL1",1,6,4,4,3,7
"8910","OCIAD1",1123,1420,1349,1138,1553,1174
"8911","OCLN",354,352,304,246,475,283
"8912","OCM",0,0,0,0,0,0
"8913","OCRL",180,155,211,157,176,138
"8914","ODAM",0,0,0,0,0,0
"8915","ODC1",689,1204,685,648,1151,949
"8916","ODF1",0,0,0,0,0,0
"8917","ODF2",89,140,115,98,158,91
"8918","ODF2L",49,30,56,38,29,40
"8919","ODF3",0,0,0,0,0,0
"8920","ODF3B",25,22,35,37,24,14
"8921","ODF3L1",0,0,0,0,0,0
"8922","ODF3L2",0,0,0,0,0,0
"8923","ODF4",2,0,2,1,2,2
"8924","ODZ2",26,35,42,40,63,18
"8925","ODZ3",9,12,16,12,19,16
"8926","ODZ4",1,1,3,0,1,0
"8927","OFD1",152,207,183,140,167,146
"8928","OGDH",1581,1836,1857,1563,2414,1864
"8929","OGDHL",15,18,9,12,10,5
"8930","OGFOD1",52,114,56,32,60,69
"8931","OGFOD2",71,102,94,48,106,66
"8932","OGFR",549,661,722,458,727,575
"8933","OGFRL1",96,35,93,95,56,26
"8934","OGG1",39,54,60,37,48,32
