"","Feature","MET_1","MET_2","MET_3","CTL_1","CTL_2","CTL_3"
"4754","GOLGA2",559,569,655,458,759,538
"4755","GOLGA3",221,313,265,118,327,196
"4756","GOLGA4",1299,1544,1462,1360,2015,1293
"4757","GOLGA5",346,393,337,249,368,328
"4758","GOLGA7",536,669,633,489,605,418
"4759","GOLGB1",989,959,814,634,1170,844
"4760","GOLIM4",565,706,589,534,816,493
"4761","GOLPH3",1072,1397,1203,1034,1429,1095
"4762","GOLPH3L",287,185,230,96,149,110
"4763","GOLT1A",192,306,250,204,178,106
"4764","GOLT1B",45,63,43,32,41,30
"4765","GON4L",272,368,276,249,325,246
"4766","GOPC",427,501,471,347,492,363
"4767","GORAB",60,61,68,49,57,42
"4768","GORASP1",292,334,335,201,269,221
"4769","GORASP2",1221,1166,1483,990,1122,846
"4770","GOSR1",327,393,331,255,379,269
"4771","GOSR2",724,898,757,567,760,586
"4772","GOT1",2627,4078,2725,980,1975,1455
"4773","GOT1L1",0,0,0,0,0,0
"4774","GOT2",6877,7152,8136,7008,7115,4621
"4775","GP1BA",1,2,2,3,3,2
"4776","GP1BB",0,0,0,0,0,0
"4777","GP2",0,0,0,0,0,0
"4778","GP5",15,5,14,10,12,5
"4779","GP9",0,1,1,1,0,0
"4780","GPA33",12,15,3,23,9,20
"4781","GPAA1",284,418,375,426,393,294
"4782","GPAM",633,837,1749,1995,1279,722
"4783","GPANK1",58,110,64,59,89,92
"4784","GPAT2",7,11,15,17,15,7
"4785","GPATC2",53,56,46,61,80,49
"4786","GPATCH1",96,96,113,120,169,106
"4787","GPATCH4",117,283,98,31,72,55
"4788","GPBAR1",1,0,1,1,0,0
"4789","GPBP1",638,634,657,594,898,641
"4790","GPBP1L1",39,71,38,28,59,47
"4791","GPC2",2,2,6,5,2,2
"4792","GPC3",16,19,27,12,22,8
"4793","GPC4",1038,851,1062,904,971,598
"4794","GPC5",0,0,0,0,0,0
"4795","GPCPD1",523,483,393,208,339,216
"4796","GPD1",6111,7564,8795,7963,9280,7050
"4797","GPD1L",49,124,67,37,85,61
"4798","GPD2",41,35,46,38,234,170
"4799","GPER",0,1,0,0,1,0
"4800","GPHA2",0,0,0,1,0,0
"4801","GPHB5",0,0,0,0,0,0
"4802","GPHN",763,817,920,598,954,691
"4803","GPI",1864,1942,2444,1257,1471,877
"4804","GPIHBP1",0,2,0,0,0,0
"4805","GPKOW",330,469,386,306,375,283
"4806","GPLD1",3680,4261,2886,4178,6064,5509
"4807","GPM6A",264,143,342,422,11,106
"4808","GPM6B",19,10,18,11,13,6
"4809","GPN3",119,127,137,80,115,85
"4810","GPNMB",124,198,167,194,329,144
"4811","GPR1",0,0,0,0,0,0
"4812","GPR101",0,0,0,0,0,0
"4813","GPR107",403,513,437,341,522,359
"4814","GPR108",272,214,337,247,276,180
"4815","GPR113",7,9,7,6,24,23
"4816","GPR114",25,18,19,20,24,12
"4817","GPR116",549,790,505,459,981,750
"4818","GPR119",0,0,0,0,0,0
"4819","GPR12",0,0,0,0,0,1
"4820","GPR123",0,0,0,0,0,0
"4821","GPR128",0,1,3,2,1,1
"4822","GPR132",4,1,5,6,8,3
"4823","GPR135",5,1,5,3,2,0
"4824","GPR137",43,61,75,47,62,36
"4825","GPR137B",24,31,39,21,40,22
"4826","GPR137C",0,0,0,0,0,0
"4827","GPR139",0,0,0,0,0,0
"4828","GPR141",0,0,0,0,0,0
"4829","GPR143",0,0,0,0,0,0
"4830","GPR146",642,739,576,181,518,289
"4831","GPR149",1,0,0,0,0,0
"4832","GPR15",0,0,0,0,0,1
"4833","GPR150",0,0,1,0,1,0
"4834","GPR151",3,5,0,5,6,0
"4835","GPR153",20,25,26,12,22,17
"4836","GPR155",340,258,413,439,474,283
"4837","GPR156",0,1,0,0,0,0
"4838","GPR157",21,21,31,23,18,23
"4839","GPR158",10,4,6,5,3,6
"4840","GPR160",3,1,5,3,8,2
"4841","GPR162",0,2,5,3,2,3
"4842","GPR165",0,0,0,1,1,0
"4843","GPR17",3,1,2,8,5,3
"4844","GPR171",4,1,6,10,14,9
"4845","GPR172A",62,62,40,53,73,57
"4846","GPR173",1,0,0,1,0,0
"4847","GPR174",4,1,7,6,9,9
"4848","GPR18",2,3,2,3,5,4
"4849","GPR180",185,245,219,196,259,225
"4850","GPR182",332,475,412,282,597,371
"4851","GPR183",3,7,3,2,6,4
"4852","GPR19",39,29,31,38,33,27
"4853","GPR20",0,2,0,0,0,1
"4854","GPR21",2,0,0,0,0,0
"4855","GPR22",1,2,0,1,0,0
"4856","GPR27",1,0,0,0,0,0
"4857","GPR3",0,0,0,0,0,0
"4858","GPR31",8,6,6,10,17,18
"4859","GPR33",0,0,0,0,0,0
"4860","GPR34",6,0,5,4,6,1
"4861","GPR35",2,3,0,3,5,0
"4862","GPR37",15,7,28,22,23,16
"4863","GPR37L1",1,0,0,0,1,0
"4864","GPR39",23,30,27,57,71,35
"4865","GPR4",26,60,14,9,18,11
"4866","GPR45",0,0,0,0,0,0
"4867","GPR50",0,0,0,0,0,0
"4868","GPR56",23,22,15,19,22,20
"4869","GPR61",1,0,0,1,0,0
"4870","GPR63",0,2,0,0,0,1
"4871","GPR64",107,133,64,6,25,23
"4872","GPR65",4,1,1,0,8,1
"4873","GPR68",33,9,30,22,27,22
"4874","GPR75",1,0,1,0,1,1
"4875","GPR81",6,7,15,10,14,6
"4876","GPR83",0,0,0,0,0,1
"4877","GPR84",0,1,1,0,2,0
"4878","GPR85",0,0,1,2,0,0
"4879","GPR87",0,0,0,0,0,0
"4880","GPR88",7,7,6,8,17,8
"4881","GPR89",659,580,728,480,536,427
"4882","GPRASP1",70,124,108,112,135,123
"4883","GPRC5A",2,2,1,2,2,1
"4884","GPRC5B",3,1,4,1,1,5
"4885","GPRC5C",507,496,561,756,731,392
"4886","GPRC5D",0,0,1,0,0,1
"4887","GPS2",102,154,136,96,166,106
"4888","GPSM1",42,48,39,52,73,41
"4889","GPSM2",244,146,156,107,147,67
"4890","GPSM3",32,23,39,14,35,27
"4891","GPT",1499,1689,1189,1683,2635,2011
"4892","GPT2",2898,3393,3399,2039,1054,982
"4893","GPX1",5812,7143,10313,8745,6622,3656
"4894","GPX2",62,98,80,5,4,1
"4895","GPX3",160,172,159,75,150,71
"4896","GPX4",1913,2859,2084,1674,2668,1909
"4897","GPX5",0,0,0,0,0,0
"4898","GPX6",0,0,0,0,0,0
"4899","GPX7",19,27,27,25,14,14
"4900","GPX8",15,29,23,11,15,15
"4901","GRAMD1A",171,184,197,175,279,152
"4902","GRAMD1B",18,16,16,28,33,30
"4903","GRAMD1C",280,192,354,355,484,364
"4904","GRAMD3",192,180,226,181,284,207
"4905","GRAP",25,33,29,21,42,30
"4906","GRAP2",3,2,4,2,7,5
